사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Nov-23,2호선,235,문래,14,1,"4,043","2,295","14,706","10,877","46,366","37,479","54,286","134,493","29,609","67,211","20,982","26,668","21,103","22,543","26,183","25,862","25,842","27,222","26,086","24,895","29,326","26,535","36,257","30,777","64,167","42,209","112,336","62,123","41,330","44,980","28,957","23,632","29,756","20,428","23,084","18,026","10,689","11,204","1,789","3,676",12,192,0,0,0,0
Nov-23,2호선,236,영등포구청,59,1,"5,685","3,583","12,789","15,677","41,488","39,130","51,432","126,507","31,553","53,467","22,897","26,872","24,154","24,358","26,573","25,766","27,625","28,173","29,512","26,667","31,305","27,545","38,523","30,926","60,379","40,322","106,324","58,666","36,704","39,337","28,009","23,082","26,086","21,261","19,411","18,773","8,621","12,716","1,616","4,818",5,339,0,0,0,0
Nov-23,2호선,237,당산,19,0,"6,925","3,235","17,562","13,041","46,287","28,819","57,970","79,788","38,190","36,436","25,776","18,762","23,523","16,916","24,880","20,100","23,495","22,363","21,450","22,685","23,317","26,584","28,144","34,014","42,977","50,427","58,858","75,456","25,658","52,127","20,237","33,685","19,817","32,677","17,536","29,620","8,190","19,145","1,257","5,276",17,409,0,0,0,0
Nov-23,2호선,238,합정,92,10,"9,896","2,910","19,117","14,041","45,287","32,658","56,082","99,889","38,923","89,388","29,055","53,642","31,485","49,274","35,948","52,875","40,577","56,706","43,489","55,169","47,626","55,980","57,289","65,721","79,776","86,975","118,223","122,801","80,111","85,828","65,656","45,320","73,469","35,979","68,581","31,841","35,429","22,481","6,234","7,977",19,519,0,0,0,0
Nov-23,2호선,239,홍대입구,"1,035",21,"26,312","3,898","31,083","17,496","65,562","42,197","84,562","115,003","64,666","144,827","57,919","111,401","63,480","121,454","74,244","141,197","85,295","156,798","95,847","148,569","118,561","152,974","149,054","166,082","177,477","202,164","205,471","247,749","163,316","180,778","163,792","104,278","191,832","82,292","187,126","67,494","94,390","47,413","12,926","16,979",42,"1,430",0,0,0,0
Nov-23,2호선,240,신촌,90,7,"7,956","3,182","14,993","15,350","39,247","36,538","58,216","92,462","42,352","100,705","40,413","79,268","47,118","67,488","59,829","71,030","64,326","75,356","66,392","67,742","77,361","65,704","95,222","70,456","110,756","94,894","104,083","127,068","72,631","85,850","77,986","49,408","83,257","42,732","80,853","37,744","39,287","25,130","7,195","7,650",20,350,0,0,0,0
Nov-23,2호선,241,이대,46,4,"3,812",877,"9,526","6,712","29,958","15,225","40,467","46,047","25,637","57,532","20,153","42,234","21,899","30,128","32,737","33,929","29,606","34,448","29,158","27,559","38,730","29,448","40,755","30,446","53,884","38,535","44,551","50,758","27,783","36,653","23,653","24,363","24,696","23,845","18,540","24,004","7,338","17,022","1,098","4,870",1,197,0,0,0,0
Nov-23,2호선,242,아현,19,0,"5,191",737,"11,275","4,511","31,457","12,425","45,052","22,195","26,130","13,276","18,201","12,894","17,011","10,701","18,108","12,796","17,997","14,119","16,050","15,065","17,542","16,775","21,865","19,827","22,340","25,788","20,704","35,916","12,866","25,975","9,596","17,285","7,776","16,925","5,593","15,925","2,244","9,483",423,"2,767",6,107,0,0,0,0
Nov-23,2호선,243,충정로(경기대입구),23,1,"3,275","1,028","6,464","6,608","17,345","24,001","23,905","65,061","15,886","30,923","11,788","14,499","12,103","11,805","13,413","12,101","14,096","14,148","14,556","12,991","15,417","12,977","19,024","14,468","33,431","18,548","50,668","23,901","16,613","16,480","11,120","10,710","10,517","10,748","7,135","9,846","3,077","6,053",586,"2,076",4,103,0,0,0,0
Nov-23,2호선,244,용답,4,0,"2,398",421,"3,431","1,089","8,591","1,743","14,678","4,176","8,058","5,341","5,252","3,736","4,465","2,984","5,089","3,361","5,100","4,199","4,492","3,876","4,814","4,652","6,002","6,292","5,919","7,528","4,334","11,726","2,651","7,886","1,903","5,462","1,413","6,105","1,194","6,019",509,"3,549",107,"1,098",0,2,0,0,0,0
